date,open,high,low,close,volume,amount
2026-01-05,100.065,100.065,100.053,100.055,227458756,22758592539.0
2026-01-06,100.054,100.054,100.046,100.048,201807070,20190719079.0
2026-01-07,100.05,100.064,100.047,100.064,137607673,13768775665.0
2026-01-08,100.071,100.071,100.066,100.068,179222120,17934633432.0
2026-01-09,100.075,100.076,100.071,100.074,155886630,15600061649.0
2026-01-12,100.071,100.076,100.066,100.072,149202092,14930573504.0
2026-01-13,100.072,100.084,100.07,100.084,127855747,12795549465.0
2026-01-14,100.084,100.089,100.081,100.088,149075230,14920081990.0
2026-01-15,100.089,100.109,100.085,100.107,181688830,18185652249.0
2026-01-16,100.104,100.132,100.103,100.128,189304366,18951830762.0
2026-01-19,100.127,100.127,100.1,100.122,179912484,18010913121.0
2026-01-20,100.113,100.121,100.105,100.119,107303669,10742276473.0
2026-01-21,100.111,100.113,100.105,100.107,125584280,12572137710.0
2026-01-22,100.107,100.116,100.102,100.114,112610310,11273475075.0
2026-01-23,100.123,100.127,100.116,100.12,209231197,20948469552.0
2026-01-26,100.124,100.128,100.121,100.127,136327150,13649633036.0
2026-01-27,100.128,100.135,100.126,100.132,172570828,17279463932.0
2026-01-28,100.13,100.132,100.128,100.13,194745160,19499843424.0
2026-01-29,100.132,100.136,100.125,100.129,170446299,17067212254.0
2026-01-30,100.137,100.139,100.134,100.137,203736060,20401312928.0
2026-02-02,100.135,100.162,100.131,100.158,219787879,22009576511.0
2026-02-03,100.147,100.148,100.137,100.145,170345270,17058784017.0
2026-02-04,100.147,100.154,100.146,100.153,171933136,17219368157.0
2026-02-05,100.154,100.174,100.153,100.169,109183192,10935623054.0
2026-02-06,100.178,100.179,100.161,100.17,230118032,23050476571.0
2026-02-09,100.16,100.164,100.157,100.16,170769001,17104332672.0
2026-02-10,100.161,100.17,100.159,100.166,133792934,13401159787.0
2026-02-11,100.168,100.177,100.166,100.176,152802381,15306207557.0
2026-02-12,100.174,100.195,100.171,100.187,154762698,15503662697.0
2026-02-13,100.215,100.242,100.215,100.22,255792637,25638031681.0
2026-02-24,100.205,100.209,100.201,100.207,188794628,18917984237.0
2026-02-25,100.207,100.209,100.202,100.207,162816814,16315171050.0
2026-02-26,100.21,100.212,100.205,100.208,166813923,16716059915.0
2026-02-27,100.217,100.218,100.212,100.214,131217303,13149828846.0
2026-03-02,100.222,100.227,100.22,100.227,171147536,17152985861.0
2026-03-03,100.231,100.247,100.228,100.245,198098312,19856574113.0
2026-03-04,100.243,100.266,100.236,100.263,173017468,17343999838.0
2026-03-05,100.245,100.26,100.24,100.251,217215150,21775609025.0
2026-03-06,100.25,100.255,100.237,100.243,212428237,21295338993.0
2026-03-09,100.236,100.246,100.236,100.245,217305118,21782554214.0
2026-03-10,100.243,100.247,100.24,100.246,153572635,15394482435.0
2026-03-11,100.246,100.255,100.244,100.253,177926200,17836897691.0
2026-03-12,100.253,100.258,100.25,100.256,163322405,16373607815.0
2026-03-13,100.263,100.272,100.263,100.266,158555640,15897833000.0
2026-03-16,100.265,100.269,100.261,100.265,183135871,18362162588.0
2026-03-17,100.266,100.291,100.265,100.287,146294974,14669457837.0
2026-03-18,100.281,100.287,100.271,100.276,161582867,16203083570.0
2026-03-19,100.274,100.291,100.274,100.288,153427945,15385564868.0
2026-03-20,100.288,100.289,100.282,100.285,182308835,18282947477.0
2026-03-23,100.285,100.287,100.276,100.279,203736909,20431044381.0
2026-03-24,100.281,100.289,100.28,100.283,202690456,20326428271.0
2026-03-25,100.287,100.288,100.282,100.285,211959217,21256211390.0
2026-03-26,100.282,100.301,100.282,100.298,148200985,14863221873.0
2026-03-27,100.303,100.307,100.295,100.296,220798576,22146148293.0
2026-03-30,100.298,100.299,100.295,100.296,189925795,19049003166.0
2026-03-31,100.3,100.318,100.299,100.312,154597960,15506987532.0
2026-04-01,100.308,100.313,100.305,100.312,247237999,24800122315.0
2026-04-02,100.313,100.331,100.312,100.327,185355580,18594736082.0
2026-04-03,100.332,100.379,100.332,100.367,166518720,16710142097.0
2026-04-07,100.351,100.355,100.347,100.352,137805507,13828868698.0
2026-04-08,100.328,100.33,100.324,100.325,189178408,18979544909.0
2026-04-09,100.332,100.339,100.33,100.337,160151332,16068732126.0
2026-04-10,100.341,100.345,100.339,100.344,96459770,9678960958.0
2026-04-13,100.346,100.351,100.343,100.35,115945970,11634767317.0
2026-04-14,100.349,100.359,100.349,100.357,186080433,18673864507.0
2026-04-15,100.353,100.36,100.352,100.358,199861200,20057078688.0
2026-04-16,100.356,100.359,100.34,100.351,176796340,17742098002.0
2026-04-17,100.362,100.366,100.362,100.363,179510360,18016353912.0
2026-04-20,100.364,100.366,100.362,100.364,151238030,15178705534.0
2026-04-21,100.365,100.371,100.364,100.367,87997950,8832099741.0
2026-04-22,100.374,100.375,100.367,100.369,173946330,17459028493.0
2026-04-23,100.368,100.372,100.364,100.371,164565781,16517359129.0
2026-04-24,100.382,100.385,100.38,100.382,198933420,19969416673.0
2026-04-27,100.383,100.384,100.379,100.381,197479560,19823236939.0
2026-04-28,100.384,100.392,100.383,100.391,155343610,15594286045.0
2026-04-29,100.4,100.408,100.396,100.404,214543324,21540441994.0
2026-04-30,100.415,100.426,100.398,100.407,243567640,24458361528.0
2026-05-06,100.405,100.407,100.397,100.405,236455620,23740757712.0
2026-05-07,100.407,100.411,100.404,100.41,150470055,15108373172.0
2026-05-08,100.424,100.425,100.419,100.422,233320330,23430418857.0
2026-05-11,100.425,100.429,100.424,100.427,165505321,16621163649.0
2026-05-12,100.429,100.433,100.427,100.431,146234427,14686301767.0
2026-05-13,100.43,100.434,100.428,100.431,121338110,12185971033.0
2026-05-14,100.431,100.447,100.43,100.437,90574409,9096928994.0
2026-05-15,100.446,100.466,100.444,100.455,221099014,22210380172.0
2026-05-18,100.449,100.453,100.443,100.45,186550461,18738375594.0
2026-05-19,100.447,100.47,100.446,100.459,133006779,13360937832.0
